code;code_source;date;nom_saisie;nom_retenu;status;niche;pays;region;ville;lieux dit;utm;utm1;utm10;latitude;longitude;altitude;mode_lecture;precision;precision.m;type_acquisition ;nom_observateur;orga_observateur;nom_bdd;auteur;annee_publication;titre_publication;revue;confidentialite;nom_fournisseur;organisation;Indigenat_population;nb.ind;surface_patch;abondance_rarete;description.hab;corinne;direct_hab;ordre.phyto;association;remarque.hab;comment
ls_1037;620718;30/06/04;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;51;SAINT-AUBAN-D'OZE;;;;;44,4615;5,86677;1511;GPS;point;10;export bdd;VAN ES J_r_mie;CBN Alpin;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
ls_1038;620719;30/06/04;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;51;LE SAIX;;;;;44,45883;5,86791;1511;GPS;point;10;export bdd;VAN ES J_r_mie;CBN Alpin;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
ls_1039;620720;30/06/04;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;51;LE SAIX;;;;;44,45709;5,86003;1467;GPS;point;10;export bdd;VAN ES J_r_mie;CBN Alpin;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
ls_104;387863;24/07/91;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;41;MONTJUSTIN;;;;;43,84386;5,63319;424;GPS;point;10;export bdd;VARESE Paolo;Ass InternatIonale deÊPhytosociologie;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
ls_1040;620722;29/06/04;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;51;SAINT-AUBAN-D'OZE;;;;;44,47493;5,85626;1086;GPS;point;10;export bdd;VAN ES J_r_mie;CBN Alpin;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
ls_1041;620723;29/06/04;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;51;SAINT-AUBAN-D'OZE;;;;;44,4811;5,8655;1386;GPS;point;10;export bdd;VAN ES J_r_mie;CBN Alpin;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
ls_1042;620724;29/06/04;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;51;SAINT-AUBAN-D'OZE;;;;;44,48207;5,86439;1386;GPS;point;10;export bdd;VAN ES J_r_mie;CBN Alpin;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
ls_1043;620725;29/06/04;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;51;SAINT-AUBAN-D'OZE;;;;;44,48176;5,86337;1386;GPS;point;10;export bdd;VAN ES J_r_mie;CBN Alpin;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
ls_1044;620726;29/06/04;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;51;SAINT-AUBAN-D'OZE;;;;;44,48091;5,86072;1386;GPS;point;10;export bdd;VAN ES J_r_mie;CBN Alpin;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
ls_1045;620727;29/06/04;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;51;SAINT-AUBAN-D'OZE;;;;;44,48143;5,86014;1386;GPS;point;10;export bdd;VAN ES J_r_mie;CBN Alpin;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
ls_1046;620759;20/05/04;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;50;BREZIERS;;;;;44,39763;6,23455;1183;GPS;point;10;export bdd;VAN ES J_r_mie;CBN Alpin;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
ls_1047;620770;03/06/04;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;50;OZE;;;;;44,50984;5,79314;805;GPS;point;10;export bdd;VAN ES J_r_mie;CBN Alpin;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
