code.pop;code_terrain;date;species;status;niche.bi;com.nich;com.sol;sol.bi;person;country;region;town;locality;longitude;latitude;herbarium individual;flower ethanol;leaves phylogeny;flower cytometry;capsules;niche
li67;15EOV2016;20160620;Linum suffruticosum;pure;1;complet;ok.sol;1;Olmedo E._Afonso A.;France;Provence-Alpes-Côte d'Azur;Le Broc;Chemin Départemental N°1;7,1485;43,82441;;;;;;y
li68;17EOV2016;20160621;Linum suffruticosum;pure;1;complet;ok.sol;1;Olmedo E._Afonso A.;France;Provence-Alpes-Côte d'Azur;Saint-André-les-Alpes;Carreter N202;6,51158;43,94977;;;;;;y
li69;18EOV2016;20160621;Linum suffruticosum;pure;1;complet;ok.sol;1;Olmedo E._Afonso A.;France;Provence-Alpes-Côte d'Azur;Comps-sur-Artuby, ;Carretera D71 ;6,48123;43,71774;;;;;;y
li70;19EOV2016;20160622;Linum suffruticosum;pure;1;complet;ok.sol;1;Olmedo E._Afonso A.;France;Provence-Alpes-Côte d'Azur;Bauduen;Carreter D71;6,15751;43,72676;;;;;;y
li71;20EOV2016;20160622;Linum suffruticosum;pure;1;complet;ok.sol;1;Olmedo E._Afonso A.;France;Provence-Alpes-Côte d'Azur;Malijai;Carrretera D12;6,047;44,00847;;;;;;y
li72;21EOV2016;20160622;Linum suffruticosum;pure;1;complet;ok.sol;1;Olmedo E._Afonso A.;France;Provence-Alpes-Côte d'Azur;Mallefougasse-Augès;Carretera D101;5,92536;44,06909;;;;;;y
li73;22EOV2016;20160623;Linum suffruticosum;pure;1;complet;ok.sol;1;Olmedo E._Afonso A.;France;Provence-Alpes-Côte d'Azur;Valbelle;Carretera D53;5,90627;44,133;;;;;;y
li74;24EOV2016;20160623;Linum suffruticosum;pure;1;complet;ok.sol;1;Olmedo E._Afonso A.;France;Provence-Alpes-Côte d'Azur;Barret-sur-Méouge;Pop cerca de la carretera D506L;5,73386;44,28073;;;;;;y
li75;25EOV2016;20160624;Linum suffruticosum;pure;1;complet;ok.sol;1;Olmedo E._Afonso A.;France;Provence-Alpes-Côte d'Azur;Trescléoux,;D50 pop en bosque rodeado de cultivos;5,73209;44,36682;;;;;;y
li76;26EOV2016;20160624;Linum tenuifolium;pure;1;complet;ok.sol;1;Olmedo E._Afonso A.;France;Provence-Alpes-Côte d'Azur;Barcillonnette;Carretera D20;5,92633;44,42621;;;;;;y
li77;27EOV2017;20160624;Linum suffruticosum;pure;1;complet;ok.sol;1;Olmedo E._Afonso A.;France;Provence-Alpes-Côte d'Azur;Barcillonnette;Carretera D21;5,9264;44,42599;;;;;;y
li78;29EOV2016;20160625;Linum suffruticosum;pure;1;complet;ok.sol;1;Olmedo E._Afonso A.;France;Provence-Alpes-Côte d'Azur;Ancelle;Carretera D13;6,17424;44,61944;;;;;;y
li79;30EOV2016;20160625;Linum tenuifolium;pure;1;complet;ok.sol;1;Olmedo E._Afonso A.;France;Provence-Alpes-Côte d'Azur;Montmaur;D937;5,85806;44,60464;;;;;;y
