"code.pop";"sp.name";"date";"x";"y";"precision";"source"
"93";"ls_1081";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"29/06/07";5.5639;44.26843;10;"CBN Alpin"
"94";"ls_1082";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"29/06/07";5.37285;44.24659;10;"CBN Alpin"
"95";"ls_1083";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"04/07/07";5.40859;44.54938;10;"CBN Alpin"
"96";"ls_1084";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"10/07/07";6.33406;44.41815;10;"CBN Alpin"
"97";"ls_1085";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"10/07/07";6.33314;44.41556;10;"CBN Alpin"
"98";"ls_1086";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"10/07/07";6.32956;44.41782;10;"CBN Alpin"
"99";"ls_1087";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"07/06/07";5.72016;44.42938;10;"CBN Alpin"
"100";"ls_1088";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"07/06/07";5.72188;44.42865;10;"CBN Alpin"
"101";"ls_1089";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"18/07/07";6.19878;44.27002;10;"CBN Alpin"
"102";"ls_109";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"07/08/91";5.57856;43.83565;10;"CBN Alpin"
"103";"ls_1090";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"24/07/07";6.29252;44.27353;10;"CBN Alpin"
"104";"ls_1091";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"24/07/07";6.29195;44.27308;10;"CBN Alpin"
"105";"ls_1092";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"18/05/07";5.59334;43.97806;10;"CBN Alpin"
"106";"ls_1093";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"18/05/07";5.59229;43.97845;10;"CBN Alpin"
"107";"ls_1094";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"30/05/07";5.87237;44.18714;10;"CBN Alpin"
"108";"ls_1095";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"30/05/07";5.86064;44.19412;10;"CBN Alpin"
"109";"ls_1096";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"05/07/07";5.57218;44.17305;10;"CBN Alpin"
"110";"ls_1097";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"05/07/07";5.56869;44.16862;10;"CBN Alpin"
"111";"ls_1098";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"05/07/07";5.56376;44.15847;10;"CBN Alpin"
"112";"ls_1099";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"17/07/07";5.99375;44.57972;10;"CBN Alpin"
"113";"ls_11";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"08/06/13";3.75997;43.79774;30;"Tela botanica"
"114";"ls_110";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"23/08/91";5.78616;43.88828;10;"CBN Alpin"
"115";"ls_1100";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"26/04/06";5.84027;44.00806;10;"CBN Alpin"
