"code.pop";"code_terrain";"species";"status";"ls.short.style";"ls.long.style";"ls.number";"lf.number";"hy.short.style";"hy.long.style";"hy.number";"com.comptage"
"85";"li5";"G5";"Linum suffruticosum";"pure";63;60;123;NA;NA;NA;NA;""
"86";"li50";"G43";"Linum suffruticosum";"pure";54;67;121;NA;NA;NA;NA;""
"87";"li51";"G44";"Linum tenuifolium";"pure";NA;NA;0;188;NA;NA;NA;""
"88";"li52";"G45";"Linum tenuifolium";"pure";NA;NA;0;272;NA;NA;NA;""
"89";"li53";"G46";"Linum suffruticosum";"pure";138;136;274;NA;NA;NA;NA;""
"90";"li54";"1EOV2016";"Linum tenuifolium";"pure";0;0;0;100;NA;NA;0;""
"91";"li55";"2EOV2016";"Linum tenuifolium";"pure";0;0;0;28;NA;NA;0;""
"92";"li56";"4EOV2016";"Linum tenuifolium";"pure";0;0;0;32;NA;NA;0;""
"93";"li57";"5EOV2016";"Linum suffruticosum";"pure";27;34;61;0;NA;NA;0;""
"94";"li58";"6EOV2016";"Linum suffruticosum";"pure";12;15;27;0;NA;NA;0;""
"95";"li59";"7EOV2016";"Linum suffruticosum";"pure";29;31;60;0;NA;NA;0;""
"96";"li6";"G6";"Linum suffruticosum";"pure";55;58;113;NA;NA;NA;NA;""
"97";"li60";"8EOV2016";"Linum suffruticosum";"pure";14;17;31;0;NA;NA;0;""
"98";"li61";"9EOV2016";"Linum tenuifolium";"pure";0;0;0;18;NA;NA;0;""
"99";"li62";"10EOV2016";"Linum tenuifolium";"pure";0;0;0;0;NA;NA;0;""
"100";"li63";"11EOV2016";"Linum tenuifolium";"pure";0;0;0;11;NA;NA;0;""
"101";"li64";"12EOV2016";"Linum suffruticosum";"pure";25;34;59;0;NA;NA;0;""
"102";"li65";"13EOV2016";"Linum tenuifolium";"pure";0;0;0;65;NA;NA;0;""
"103";"li66";"14EOV206";"Linum suffruticosum";"pure";12;23;35;0;NA;NA;0;""
"104";"li67";"15EOV2016";"Linum suffruticosum";"pure";23;17;40;0;NA;NA;0;""
"105";"li68";"17EOV2016";"Linum suffruticosum";"pure";37;36;73;0;NA;NA;0;""
"106";"li69";"18EOV2016";"Linum suffruticosum";"pure";27;33;60;0;NA;NA;0;""
"107";"li7";"G7";"Linum tenuifolium";"pure";NA;NA;0;60;NA;NA;NA;""
"108";"li70";"19EOV2016";"Linum suffruticosum";"pure";18;26;44;0;NA;NA;0;""
"109";"li71";"20EOV2016";"Linum suffruticosum";"pure";38;36;74;0;NA;NA;0;""
"110";"li72";"21EOV2016";"Linum suffruticosum";"pure";13;13;26;0;NA;NA;0;""
"111";"li73";"22EOV2016";"Linum suffruticosum";"pure";28;34;62;0;NA;NA;0;""
"112";"li74";"24EOV2016";"Linum suffruticosum";"pure";NA;NA;NA;0;NA;NA;0;""
"113";"li75";"25EOV2016";"Linum suffruticosum";"pure";33;28;61;0;NA;NA;0;""
"114";"li76";"26EOV2016";"Linum tenuifolium";"pure";0;0;0;50;NA;NA;0;""
"115";"li77";"27EOV2017";"Linum suffruticosum";"pure";32;29;61;0;NA;NA;0;""
"116";"li78";"29EOV2016";"Linum suffruticosum";"pure";27;25;52;0;NA;NA;0;""
