"code.pop";"code_terrain";"date";"species";"status";"niche.bi";"com.nich";"com.sol";"sol.bi";"person";"country";"region";"town";"locality";"longitude";"latitude";"herbarium.individual";"flower.ethanol";"leaves.phylogeny";"flower.cytometry";"capsules";"niche"
"99";"li99";"Li_17_17";20170615;"Linum tenuifolium";"pure";1;"complet";"ok.sol";1;"Papuga G.";"France";NA;"Gout Rossignol";"proche de l'étang des Faures";0.41663;45.40651;"";"";"";"";NA;""
"100";"li100";"Li_17_18";20170615;"Linum suffruticosum";"pure";1;"complet";"ok.sol";1;"Papuga G.";"France";NA;"Chateauneuf sur Charente";"";-0.07606;45.59423;"";"";"";"";NA;""
"101";"li101";"Li_17_19";20170616;"Linum tenuifolium";"pure";1;"complet";"ok.sol";1;"Papuga G.";"France";NA;"La Boudinière";"coteau au sud du Hameau";1.04187;46.70022;"";"";"";"";NA;""
"102";"li102";"Li_17_20";20170616;"Linum tenuifolium";"pure";1;"complet";"ok.sol";1;"Papuga G.";"France";"Centre";"Le petit Pressigny";"Le Moulin Neuf";0.88744;46.91931;"";"";"";"";NA;""
"103";"li103";"Li_17_21";20170616;"Linum suffruticosum";"mixte";1;"complet";"ok.sol";1;"Papuga G.";"France";NA;"";"";0.87023;46.98093;"";"";"";"";NA;""
"104";"li104";"Li_17_22";20170616;"Linum suffruticosum";"pure";1;"complet";"ok.sol";1;"Papuga G.";"France";NA;"Ports";"vers \"la Plaunière\"";0.54389;47.01359;"";"";"";"";NA;""
"105";"li105";"Li_17_23";20170616;"Linum tenuifolium";"pure";1;"complet";"ok.sol";1;"Papuga G.";"France";NA;"Marcilly sur Vienne";"LA Reinerie";0.51985;47.03585;"";"";"";"";NA;""
"106";"li106";"Li_17_24";20170616;"Linum suffruticosum";"pure";1;"complet";"ok.sol";1;"Papuga G.";"France";"Centre";"Saint Bauld";"Pont Chalet (ancienne carrière)";0.83299;47.17707;"";"";"";"";NA;""
"107";"li107";"Li_17_25";20170617;"Linum tenuifolium";"pure";1;"complet";"ok.sol";1;"Papuga G.";"France";NA;"";"";1.05315;47.20529;"";"";"";"";NA;""
"108";"li108";"35_1EOV2017";20170611;"Linum suffruticosum";"mixed";1;"complet";"ok.sol";1;"Olmedo E.";"France";"Mid-Pyrinne";"Lanuéjols";"Domain de Pradines";3.3548;44.13303;"";"";"";"";NA;""
"109";"li109";"35_2EOV2017";20170611;"Linum tenuifolium";"mixed";1;"complet";"ok.sol";1;"Olmedo E.";"France";"Mid-Pyrinne";"Lanuéjols";"Domain de Pradines";3.35539;44.13317;"";"";"";"";NA;""
"110";"li110";"36_1EOV2017";20170622;"Linum suffruticosum";"mixed";1;"complet";"no.data";0;"Olmedo E.";"Spain";"Girona";"Urus";"Alp";1.84208;42.3527;"";"";"";"";NA;""
"111";"li111";"36_2EOV2017";20170622;"Linum tenuifolium";"mixed";1;"complet";"no.data";0;"Olmedo E.";"Spain";"Girona";"Urus";"Alp";1.84222;42.3526;"";"";"";"";NA;""
"112";"li112";"3EOV2016";20160610;"Mixed";"mixed";0;"dbl.pb.esp";"mixed.sample";0;"Olmedo E._Afonso A.";"France";"Languedoc-Roussillon";"Espéraza";"D118 Road Dinosaurs Museum";2.22021;43.07347;"";"";"";"";NA;"y"
"113";"li113";"3EOV’";20160610;NA;"mixed";0;"dbl.pb.esp";"dbl.pb.esp";0;"Olmedo E._Afonso A.";"France";NA;"";"";NA;NA;"";"";"";"";NA;""
"114";"li114";"16EOV2016";20160620;"Mixed";"mixed";0;"dbl.pb.esp";"mixed.sample";0;"Olmedo E._Afonso A.";"France";"Provence-Alpes-Côte d'Azur";"La Penne";"Carretera D 27";6.94795;43.93502;"";"";"";"";NA;"y"
